,StoryIndex,Story,Target,InformativenessScore,AllTargets,Guess1,Guess2,Guess3
0,0,"Once upon a time, there was an anteater named Albert. He loved the night when the moon was out and the stars were twinkling. One night, Albert was out for a stroll and he heard a strange sound. He followed the sound until he came to a clearing in the woods.

The clearing was lit up by a bright, reddish moon. And there, standing in the middle of the clearing, was a tuba! Albert was surprised to see a tuba playing in the middle of the woods on a moonlit night.

He watched as the tuba played beautiful music. Albert was so amazed by the music that he started to dance. He stepped and twirled and shuffled in time with the tuba's playing.

He danced until the sun came up and the moon went down. Albert was so tired, but he was so happy that he had seen a tuba performing on a moonlit night.",anteater,0.167151978,"anteater, tuba, reddish, moonlit, performing",badger,moose,penguin
1,0,"Once upon a time, there was an anteater named Albert. He loved the night when the moon was out and the stars were twinkling. One night, Albert was out for a stroll and he heard a strange sound. He followed the sound until he came to a clearing in the woods.

The clearing was lit up by a bright, reddish moon. And there, standing in the middle of the clearing, was a tuba! Albert was surprised to see a tuba playing in the middle of the woods on a moonlit night.

He watched as the tuba played beautiful music. Albert was so amazed by the music that he started to dance. He stepped and twirled and shuffled in time with the tuba's playing.

He danced until the sun came up and the moon went down. Albert was so tired, but he was so happy that he had seen a tuba performing on a moonlit night.",moonlit,0.336769916,"anteater, tuba, reddish, moonlit, performing",starry,cloudy,piano
2,0,"Once upon a time, there was an anteater named Albert. He loved the night when the moon was out and the stars were twinkling. One night, Albert was out for a stroll and he heard a strange sound. He followed the sound until he came to a clearing in the woods.

The clearing was lit up by a bright, reddish moon. And there, standing in the middle of the clearing, was a tuba! Albert was surprised to see a tuba playing in the middle of the woods on a moonlit night.

He watched as the tuba played beautiful music. Albert was so amazed by the music that he started to dance. He stepped and twirled and shuffled in time with the tuba's playing.

He danced until the sun came up and the moon went down. Albert was so tired, but he was so happy that he had seen a tuba performing on a moonlit night.",performing,0.579610358,"anteater, tuba, reddish, moonlit, performing",performing,singing,composing
3,0,"Once upon a time, there was an anteater named Albert. He loved the night when the moon was out and the stars were twinkling. One night, Albert was out for a stroll and he heard a strange sound. He followed the sound until he came to a clearing in the woods.

The clearing was lit up by a bright, reddish moon. And there, standing in the middle of the clearing, was a tuba! Albert was surprised to see a tuba playing in the middle of the woods on a moonlit night.

He watched as the tuba played beautiful music. Albert was so amazed by the music that he started to dance. He stepped and twirled and shuffled in time with the tuba's playing.

He danced until the sun came up and the moon went down. Albert was so tired, but he was so happy that he had seen a tuba performing on a moonlit night.",reddish,0.196587105,"anteater, tuba, reddish, moonlit, performing",shiny,sparkly,full
4,0,"Once upon a time, there was an anteater named Albert. He loved the night when the moon was out and the stars were twinkling. One night, Albert was out for a stroll and he heard a strange sound. He followed the sound until he came to a clearing in the woods.

The clearing was lit up by a bright, reddish moon. And there, standing in the middle of the clearing, was a tuba! Albert was surprised to see a tuba playing in the middle of the woods on a moonlit night.

He watched as the tuba played beautiful music. Albert was so amazed by the music that he started to dance. He stepped and twirled and shuffled in time with the tuba's playing.

He danced until the sun came up and the moon went down. Albert was so tired, but he was so happy that he had seen a tuba performing on a moonlit night.",tuba,-0.01250511,"anteater, tuba, reddish, moonlit, performing",fairy,kangaroo,bear
5,1,"Once upon a time, there was an anteater named Alex who lived in the woods. He loved the moonlit nights and often performed in the forest. One night, Alex discovered a mysterious tuba in the moonlight. It was a reddish color and looked like it had been there for a long time. 

Alex was so excited to find this tuba and decided to take it home with him. He practiced playing the tuba every day and soon became quite good at it. Every night, he ventured out into the forest and performed under the moonlight. The other animals in the forest were mesmerized by his playing and often clapped their paws along to his music. 

Alex always felt at peace when he was performing under the moonlight and the other animals enjoyed it too. The tuba was a magical instrument and it was like it was made for Alex. He continued to perform in the forest every night and soon became the best performer in the woods.

The moral of the story is that if you find something that you love, you should never give up on it.",anteater,0.100286684,"anteater, tuba, reddish, moonlit, performing",fox,boy,monkey
6,1,"Once upon a time, there was an anteater named Alex who lived in the woods. He loved the moonlit nights and often performed in the forest. One night, Alex discovered a mysterious tuba in the moonlight. It was a reddish color and looked like it had been there for a long time. 

Alex was so excited to find this tuba and decided to take it home with him. He practiced playing the tuba every day and soon became quite good at it. Every night, he ventured out into the forest and performed under the moonlight. The other animals in the forest were mesmerized by his playing and often clapped their paws along to his music. 

Alex always felt at peace when he was performing under the moonlight and the other animals enjoyed it too. The tuba was a magical instrument and it was like it was made for Alex. He continued to perform in the forest every night and soon became the best performer in the woods.

The moral of the story is that if you find something that you love, you should never give up on it.",moonlit,0.475168377,"anteater, tuba, reddish, moonlit, performing",moonlit,dark,cool
7,1,"Once upon a time, there was an anteater named Alex who lived in the woods. He loved the moonlit nights and often performed in the forest. One night, Alex discovered a mysterious tuba in the moonlight. It was a reddish color and looked like it had been there for a long time. 

Alex was so excited to find this tuba and decided to take it home with him. He practiced playing the tuba every day and soon became quite good at it. Every night, he ventured out into the forest and performed under the moonlight. The other animals in the forest were mesmerized by his playing and often clapped their paws along to his music. 

Alex always felt at peace when he was performing under the moonlight and the other animals enjoyed it too. The tuba was a magical instrument and it was like it was made for Alex. He continued to perform in the forest every night and soon became the best performer in the woods.

The moral of the story is that if you find something that you love, you should never give up on it.",performing,0.210243247,"anteater, tuba, reddish, moonlit, performing",wandering,played,playing
8,1,"Once upon a time, there was an anteater named Alex who lived in the woods. He loved the moonlit nights and often performed in the forest. One night, Alex discovered a mysterious tuba in the moonlight. It was a reddish color and looked like it had been there for a long time. 

Alex was so excited to find this tuba and decided to take it home with him. He practiced playing the tuba every day and soon became quite good at it. Every night, he ventured out into the forest and performed under the moonlight. The other animals in the forest were mesmerized by his playing and often clapped their paws along to his music. 

Alex always felt at peace when he was performing under the moonlight and the other animals enjoyed it too. The tuba was a magical instrument and it was like it was made for Alex. He continued to perform in the forest every night and soon became the best performer in the woods.

The moral of the story is that if you find something that you love, you should never give up on it.",reddish,0.534213831,"anteater, tuba, reddish, moonlit, performing",brownish,yellow,faded
9,1,"Once upon a time, there was an anteater named Alex who lived in the woods. He loved the moonlit nights and often performed in the forest. One night, Alex discovered a mysterious tuba in the moonlight. It was a reddish color and looked like it had been there for a long time. 

Alex was so excited to find this tuba and decided to take it home with him. He practiced playing the tuba every day and soon became quite good at it. Every night, he ventured out into the forest and performed under the moonlight. The other animals in the forest were mesmerized by his playing and often clapped their paws along to his music. 

Alex always felt at peace when he was performing under the moonlight and the other animals enjoyed it too. The tuba was a magical instrument and it was like it was made for Alex. He continued to perform in the forest every night and soon became the best performer in the woods.

The moral of the story is that if you find something that you love, you should never give up on it.",tuba,0.758728584,"anteater, tuba, reddish, moonlit, performing",tuba,flute,guitar
