,ContextID,Context,Target,InformativenessScore,Guess1,Guess2
0,1755486,"Baby Barry will not be Swiftboated, the Dem daily trumpets this morning, because he will fight back. As if the Dem's _________ war hero John Kerry didn't try to outargue his Vietnam veteran attackers. He may have slacked off a bit since he had the MSM in the tank for him. ...",ersatz,0.039393302,favorite,favorite
1,583928,"indeed it would be too late to sell it, but a man of Colonel Brandon's sense! -- I wonder he should be so _________ in a point of such common, such natural, concern! -- Well, I am convinced that there is a vast deal of inconsistency in almost every human character. I suppose, however -- on recollection -- that the case may probably be",improvident,0.167241603,senseless,calm
2,2503069,"The Aero 38A offers captive rigging hardware that keeps all parts in place and makes joining one box to another, safe and simple. The rear located _________ angle adjusters keep the front spacing between adjacent elements the same, providing a seamless front baffle for improved array performance. Moving individual units is easy thanks to the front located dolly panel. ...",splay,0.035764139,automatic,automatic
3,2352115,"By the 1860s, British _________ relied on the display of shapely, underdressed women to keep audiences interested. In the Victorian age, when proper women went to great lengths to hide their physical form beneath bustles, hoops and frills, the idea of young ladies appearing onstage in tights was a powerful challenge."" ...",burlesque,0.647117257,entertainment,burlesque
4,930788,"account of alleged U.S. interrogation abuses ricocheted with startling force through the Muslim world, fueling anti-American riots that injured scores and left at least 15 dead. In the aftermath, the news media have been thrown into a _________ of self-examination, compounded by fire from administration officials, cable-TV pundits, and the blogosphere. ...",paroxysm,0.319143742,frenzy,bout
5,3738975,"Polynuclear _________ hydrocarbons are a class of compounds found throughout the environment in the air, in the soil and in the water. They are found naturally in crude oil, coal tar, and coal. They are man-made during incomplete combustion of hydrocarbons like coal, oil, gas, tobacco, and during forest fires. ...",aromatic,0.19331798,organic,airborne
6,2668168,"An _________d plane is such a simple device that many people find it difficult to think of it as a ""machine"" - but it is! It is easier to push a heavy load up an _________ (ramp) than it is to lift it directly - that is, when you push an object up an _________, it takes",incline,1,incline,incline
7,289132,"... Same goes for all of these criminals associated with this administration: Armitage, Greenspan, Tenet, and any other _________ sleazy enough to throw in with this crowd, then shoot for Absolution By Book Deal. Your service to Bush has done phenomenal damage to this country, damage that will take generations to correct. ...",sycophant,0.077486493,miscreant,man
8,3587394,"The driver while trying to escape the scene of the accident was apprehended by _________ youths and commercial motorcyclists in the area, who barricaded the road, and foiled his escape. Thereafter they pounced on him and beat him mercilessly. His car was not spared either as it was set ablaze on the spot. ...",irate,0.192567885,violent,upstanding
9,3413969,"... Even if this is true and she is the unlucky receiver of your first brush with erectile disorder, keep the comments _________. If you're polite, and sincere and convince her it's nothing she did, you'll probably be surprised at her level of forgiveness and how open she'll be to you both fixing this problem together.",neutral,0.329311937,positive,positive
10,798600,", or mirror rice cake, right out of the package. These two-tiered affairs consisting of a small disk of _________ rice cake atop a larger one are a Japanese New Year decoration and are often quite elaborate. In bygone days in Japan all the people on one street would participate in",glutinous,0.378535986,glazed,chewy
11,3290854,"... As the 21st century finds us living in a world of where violence has become _________, where subliminal, virtual, or actual violence bombards us all in every walk of life, where armed political and economic conflicts divide the world again into fiefdoms of ethnicity or privilege, so, too, alternatives exist by which we can live.",banal,0.112681963,normalized,normalized
12,2221872,"... It can also be dangerous because it evaporates so quickly. ""Cotton kills"" is the _________ of many outdoor enthusiasts because they know that it will contribute to hypothermia in wet, cold conditions. Cotton Proof from Nikwax can add water repellency to cotton, making it safer and more usable in the outdoors.",adage,0.504580259,slogan,slogan
